"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA","AvgH","AvgD","AvgA","B365>2.5","B365<2.5","P>2.5","P<2.5","Max>2.5","Max<2.5","Avg>2.5","Avg<2.5","AHh","B365AHH","B365AHA","PAHH","PAHA","MaxAHH","MaxAHA","AvgAHH","AvgAHA","B365CH","B365CD","B365CA","BWCH","BWCD","BWCA","PSCH","PSCD","PSCA","WHCH","WHCD","WHCA","MaxCH","MaxCD","MaxCA","AvgCH","AvgCD","AvgCA","B365C>2.5","B365C<2.5","PC>2.5","PC<2.5","MaxC>2.5","MaxC<2.5","AvgC>2.5","AvgC<2.5","AHCh","B365CAHH","B365CAHA","PCAHH","PCAHA","MaxCAHH","MaxCAHA","AvgCAHH","AvgCAHA","Season","DateConverted","HomeTeamELO","AwayTeamELO","HomeTeamAverageGoals","AwayTeamAverageGoals","HomeTeamMedianGoals","AwayTeamMedianGoals","Total","DifferenceGoals","DifferenceELO","DifferenceAverageGoalsHomeAway","DifferenceMedianGoalsHomeAway","MatchTeams","DifferenceAverageGoalsByMatch","DifferenceMedianGoalsByMatch","HomeTeamAverageGoalsTotal","AwayTeamAverageGoalsTotal","HomeTeamMedianGoalsTotal","AwayTeamMedianGoalsTotal","DifferenceAverageGoalsTotal","DifferenceMedianGoalsTotal","HomeTeamProportionShotsOnTarget","AwayTeamProportionShotsOnTarget","DifferenceProportionShotsOnTarget","HomeTeamAverageProportionShotsOnTarget","AwayTeamAverageProportionShotsOnTarget","HomeTeamMedianProportionShotsOnTarget","AwayTeamMedianProportionShotsOnTarget","DifferenceAverageProportionShotsOnTargetHomeAway","DifferenceMedianProportionShotsOnTargetHomeAway","DifferenceAverageProportionShotsOnTargetByMatch","DifferenceMedianProportionShotsOnTargetByMatch","HomeTeamAverageShotsOnTarget","AwayTeamAverageShotsOnTarget","HomeTeamMedianShotsOnTarget","AwayTeamMedianShotsOnTarget","DifferenceAverageShotsOnTargetHomeAway","DifferenceMedianShotsOnTargetHomeAway","DifferenceShotsOnTarget","HomeTeamAverageShotsOnTargetByMatch","AwayTeamAverageShotsOnTargetByMatch","HomeTeamMedianShotsOnTargetByMatch","AwayTeamMedianShotsOnTargetByMatch","DifferenceAverageShotsOnTargetByMatch","DifferenceMedianShotsOnTargetByMatch"
"E0","09/08/2019","20:00","Liverpool","Norwich",4,1,"H",4,0,"H","M Oliver",15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,1.14,8.25,18.5,1.15,9.59,18.05,1.12,8.5,21,1.16,10,23,1.14,8.75,19.83,1.4,3,1.4,3.11,1.45,3.11,1.41,2.92,-2.25,1.96,1.94,1.97,1.95,1.97,2,1.94,1.94,1.14,9.5,21,1.14,9,20,1.14,10.43,19.63,1.11,9.5,21,1.16,10.5,23,1.14,9.52,19.18,1.3,3.5,1.34,3.44,1.36,3.76,1.32,3.43,-2.25,1.91,1.99,1.94,1.98,1.99,2.07,1.9,1.99,"1920","DateObject[{2019, 8, 9}, ""Day""]",1683.2922543255586,1370.4466506727151,2.3645833333333335,0.47368421052631576,2.,0.,5,3,312.84560365284347,1.8908991228070178,2.,"{""Liverpool"", ""Norwich""}",2.5,2.5,2.150259067357513,0.6447368421052632,2.,0.,1.5055222252522498,2.,0.4666666666666667,0.4166666666666667,0.04999999999999999,0.3663709586492816,0.28050460235363284,0.3717105263157895,0.2761904761904762,0.08586635629564876,0.09552005012531328,0.07959770114942528,0.07959770114942528,0.3663709586492816,2.736842105263158,6.,3.,0.08586635629564876,3.,2,7.5,3.,7.5,3.,4.5,4.5
"E0","10/08/2019","12:30","West Ham","Man City",0,5,"A",0,1,"A","M Dean",5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,11.5,5.75,1.26,11.68,6.53,1.26,13,6,1.24,13,6.75,1.29,11.84,6.28,1.25,1.44,2.75,1.49,2.77,1.51,2.77,1.48,2.65,1.75,2,1.9,2.02,1.9,2.02,1.92,1.99,1.89,12,7,1.25,11,6,1.26,11.11,6.68,1.27,11,6.5,1.24,13,7,1.29,11.14,6.46,1.26,1.4,3,1.43,3.03,1.5,3.22,1.41,2.91,1.75,1.95,1.95,1.96,1.97,2.07,1.98,1.97,1.92,"1920","DateObject[{2019, 8, 10}, ""Day""]",1497.5078612500658,1741.726129639279,1.5876288659793814,2.1649484536082473,1.,2.,5,-5,-244.2182683892131,-0.5773195876288659,-1.,"{""West Ham"", ""Man City""}",-1.8333333333333333,-2.,1.4352331606217616,2.5025906735751295,1.,2.,-1.067357512953368,-1.,0.6,0.6428571428571429,-0.04285714285714293,0.36775275635071036,0.390227971196777,0.3333333333333333,0.375,-0.022475214846066627,-0.041666666666666685,-0.04591882246280856,-0.030049261083743894,0.36775275635071036,6.298969072164948,4.,6.,-0.022475214846066627,-2.,-6,2.1666666666666665,8.166666666666666,2.,8.,-6.,-6.
"E0","10/08/2019","15:00","Bournemouth","Sheffield United",1,1,"D",0,0,"D","K Friend",13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1.95,3.6,3.9,2.04,3.57,3.9,2,3.5,3.8,2.06,3.65,4,2.01,3.53,3.83,1.9,1.9,1.96,1.96,2,1.99,1.9,1.93,-0.5,2.01,1.89,2.04,1.88,2.04,1.91,2,1.88,1.95,3.7,4.2,1.95,3.6,3.9,1.98,3.67,4.06,1.95,3.6,3.9,2.03,3.7,4.2,1.98,3.58,3.96,1.9,1.9,1.94,1.97,1.97,1.98,1.91,1.92,-0.5,1.95,1.95,1.98,1.95,2,1.96,1.96,1.92,"1920","DateObject[{2019, 8, 10}, ""Day""]",1469.08973275657,1367.668094761204,1.206896551724138,0.6842105263157895,1.,1.,2,0,101.42163799536593,0.5226860254083484,0.,"{""Bournemouth"", ""Sheffield United""}",0.,0.,1.1623931623931625,0.8245614035087719,1.,1.,0.33783175888439054,0.,0.23076923076923078,0.375,-0.14423076923076922,0.33243169154546875,0.32688836504625973,0.3333333333333333,0.3333333333333333,0.0055433264992090225,0.,-0.23076923076923075,-0.23076923076923075,0.33243169154546875,2.491228070175439,4.,2.,0.0055433264992090225,2.,0,7.5,6.,7.5,6.,1.5,1.5
"E0","10/08/2019","15:00","Burnley","Southampton",3,0,"H",0,0,"D","G Scott",10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.65,3.2,2.75,2.71,3.31,2.81,2.7,3.2,2.75,2.8,3.33,2.85,2.68,3.22,2.78,2.1,1.72,2.17,1.77,2.2,1.78,2.12,1.73,0,1.92,1.98,1.93,2,1.94,2,1.91,1.98,2.7,3.25,2.9,2.65,3.1,2.85,2.71,3.19,2.9,2.62,3.2,2.8,2.72,3.26,2.95,2.65,3.18,2.88,2.1,1.72,2.19,1.76,2.25,1.78,2.17,1.71,0,1.87,2.03,1.89,2.03,1.9,2.07,1.86,2.02,"1920","DateObject[{2019, 8, 10}, ""Day""]",1408.5468964353918,1397.7189194249795,0.9868421052631579,1.1153846153846154,1.,1.,3,3,10.827977010412269,-0.12854251012145756,0.,"{""Burnley"", ""Southampton""}",1.3333333333333333,2.,0.993421052631579,1.1483870967741936,1.,1.,-0.1549660441426146,0.,0.4,0.2727272727272727,0.12727272727272732,0.32261578200554886,0.373525123062668,0.3333333333333333,0.3333333333333333,-0.05090934105711914,0.,0.07651515151515154,0.10227272727272729,0.32261578200554886,4.243589743589744,4.,4.,-0.05090934105711914,0.,1,4.,2.3333333333333335,4.,3.,1.6666666666666667,1.
"E0","10/08/2019","15:00","Crystal Palace","Everton",0,0,"D",0,0,"D","J Moss",6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,3.2,3.2,2.35,3.21,3.37,2.39,3.1,3.3,2.35,3.21,3.4,2.52,3.13,3.27,2.4,2.2,1.66,2.23,1.74,2.25,1.74,2.18,1.7,0.25,1.85,2.05,1.88,2.05,1.88,2.09,1.84,2.04,3.4,3.5,2.25,3.3,3.3,2.25,3.37,3.45,2.27,3.3,3.3,2.25,3.55,3.5,2.34,3.41,3.37,2.23,2.2,1.66,2.22,1.74,2.28,1.77,2.17,1.71,0.25,1.82,2.08,1.97,1.96,2.03,2.08,1.96,1.93,"1920","DateObject[{2019, 8, 10}, ""Day""]",1487.9703240544054,1462.5450784299526,1.25,0.9895833333333334,1.,1.,0,0,25.425245624452828,0.26041666666666663,0.,"{""Crystal Palace"", ""Everton""}",0.,0.,1.145077720207254,1.0880829015544042,1.,1.,0.05699481865284972,0.,0.3333333333333333,0.3,0.033333333333333326,0.3443768896200791,0.32727289319881475,0.3076923076923077,0.3333333333333333,0.017103996421264367,-0.025641025641025605,-0.2028733031674208,-0.1923076923076923,0.3443768896200791,3.4791666666666665,4.,3.,0.017103996421264367,1.,-1,3.,4.6,2.,5.,-1.6,-1.
"E0","10/08/2019","15:00","Watford","Brighton",0,3,"A",0,1,"A","C Pawson",11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,1.9,3.4,4.33,1.98,3.44,4.37,1.95,3.4,4.2,2,3.5,4.6,1.94,3.41,4.26,2.1,1.72,2.19,1.76,2.24,1.76,2.16,1.71,-0.5,1.95,1.95,1.98,1.95,1.98,1.98,1.94,1.94,2.1,3.25,4.2,2.1,3.1,4,2.05,3.38,4.12,2.05,3.25,4,2.15,3.38,4.2,2.07,3.27,4.04,2.1,1.72,2.16,1.78,2.2,1.78,2.14,1.73,-0.5,2.04,1.86,2.05,1.88,2.12,1.91,2.05,1.84,"1920","DateObject[{2019, 8, 10}, ""Day""]",1394.3597030418173,1524.9521717586158,1.0263157894736843,1.2783505154639174,1.,1.,3,-3,-130.59246871679852,-0.25203472599023313,0.,"{""Watford"", ""Brighton""}",-2.5,-2.5,0.9210526315789473,1.3160621761658031,1.,1.,-0.3950095445868558,0.,0.2727272727272727,0.6,-0.32727272727272727,0.28436168471101314,0.3703983732816998,0.2727272727272727,0.3333333333333333,-0.08603668857068664,-0.06060606060606061,-0.3808080808080808,-0.3808080808080808,0.28436168471101314,4.360824742268041,3.5,4.,-0.08603668857068664,-0.5,0,2.,4.5,2.,4.5,-2.5,-2.5
"E0","10/08/2019","17:30","Tottenham","Aston Villa",3,1,"H",0,1,"A","C Kavanagh",31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10,1.3,5.5,10,1.3,5.84,10.96,1.29,5.5,10,1.33,5.95,12,1.3,5.53,10.51,1.66,2.2,1.64,2.4,1.7,2.4,1.65,2.26,-1.5,1.97,1.93,1.99,1.93,2,2,1.93,1.94,1.36,5.5,9,1.35,5,9,1.39,5.35,8.42,1.35,5.25,8,1.4,5.7,10,1.36,5.29,8.82,1.57,2.37,1.58,2.52,1.65,2.55,1.58,2.4,-1.5,2.1,1.7,2.18,1.77,2.21,1.87,2.08,1.8,"1920","DateObject[{2019, 8, 10}, ""Day""]",1568.4636945932689,1560.6408849211252,1.9583333333333333,1.2164948453608246,2.,1.,4,2,7.822809672143649,0.7418384879725086,1.,"{""Tottenham"", ""Aston Villa""}",-0.2,-1.,1.8031088082901554,1.4455958549222798,2.,1.,0.3575129533678756,1.,0.22580645161290322,0.5714285714285714,-0.34562211981566815,0.38748236590240337,0.35065209217247123,0.375,0.3333333333333333,0.03683027372993214,0.041666666666666685,0.04948650758897438,0.1111111111111111,0.38748236590240337,4.061855670103093,5.,4.,0.03683027372993214,1.,3,5.8,4.,7.,4.,1.8,3.
"E0","11/08/2019","14:00","Leicester","Wolves",0,0,"D",0,0,"D","A Marriner",15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.25,3.3,3.3,2.21,3.34,3.66,2.2,3.25,3.5,2.29,3.38,3.66,2.22,3.28,3.48,2.2,1.66,2.23,1.74,2.25,1.74,2.17,1.7,-0.25,1.9,2,1.9,2.04,1.95,2.04,1.91,1.98,2.4,3.25,3.3,2.35,3.2,3.3,2.5,3.12,3.3,2.35,3.1,3.3,2.55,3.25,3.58,2.41,3.14,3.29,2.3,1.61,2.45,1.63,2.45,1.71,2.33,1.62,-0.25,2.07,1.83,2.11,1.83,2.12,1.98,2.06,1.84,"1920","DateObject[{2019, 8, 11}, ""Day""]",1468.4425097864957,1466.6167780609117,1.641025641025641,0.9690721649484536,2.,1.,0,0,1.8257317255840917,0.6719534760771874,1.,"{""Leicester"", ""Wolves""}",0.75,1.,1.6193548387096774,1.0829015544041452,1.,1.,0.5364532843055323,0.,0.06666666666666667,0.25,-0.18333333333333335,0.3741173367352217,0.34706606709676663,0.38461538461538464,0.32,0.027051269638455055,0.06461538461538463,0.13896767040149394,0.1800595238095238,0.3741173367352217,3.4536082474226806,5.,3.,0.027051269638455055,2.,-1,4.25,2.5,4.,2.5,1.75,1.5
"E0","11/08/2019","14:00","Newcastle","Arsenal",0,1,"A",0,0,"D","M Atkinson",9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,4.5,3.75,1.78,4.58,3.93,1.81,4.5,3.75,1.78,4.7,4,1.83,4.49,3.82,1.79,1.8,2,1.83,2.1,1.83,2.14,1.77,2.07,0.75,1.85,2.05,1.86,2.07,1.88,2.08,1.85,2.03,3.4,3.6,2.2,3.3,3.5,2.2,3.36,3.56,2.25,3.5,3.4,2.15,3.76,3.65,2.25,3.36,3.51,2.2,1.8,2,1.83,2.09,1.85,2.17,1.79,2.05,0.25,1.99,1.91,1.99,1.95,2.17,1.97,2,1.89,"1920","DateObject[{2019, 8, 11}, ""Day""]",1564.905618158535,1673.9881737664841,1.6494845360824741,1.6354166666666667,1.,1.,1,-1,-109.08255560794919,0.0140678694158074,0.,"{""Newcastle"", ""Arsenal""}",-0.4,-1.,1.4766839378238341,1.8445595854922279,1.,2.,-0.36787564766839376,-1.,0.2222222222222222,0.25,-0.02777777777777779,0.3425440583126574,0.3438147844114327,0.3333333333333333,0.3333333333333333,-0.001270726098775321,0.,-0.01105870737449684,-0.02777777777777779,0.3425440583126574,4.177083333333333,5.,3.5,-0.001270726098775321,1.5,0,2.8,3.2,2.,2.,-0.4,0.
"E0","11/08/2019","16:30","Man United","Chelsea",4,0,"H",1,0,"H","A Taylor",11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2.15,3.3,3.5,2.21,3.37,3.63,2.15,3.3,3.5,2.28,3.43,3.63,2.19,3.32,3.49,2,1.8,2.05,1.87,2.1,1.87,2.01,1.83,-0.25,1.9,2,1.9,2.04,1.92,2.04,1.89,2,2.05,3.5,4,2.1,3.3,3.8,2.04,3.44,4.14,2,3.4,4,2.2,3.5,4.4,2.05,3.36,3.99,2,1.8,2.05,1.88,2.07,2.04,1.99,1.84,-0.5,2.02,1.88,2.04,1.9,2.1,1.91,2.04,1.85,"1920","DateObject[{2019, 8, 11}, ""Day""]",1578.561044316007,1565.0974465123743,1.8350515463917525,1.6875,2.,1.,4,4,13.463597803632638,0.1475515463917525,1.,"{""Man United"", ""Chelsea""}",1.6,1.,1.621761658031088,1.6839378238341969,1.,2.,-0.06217616580310881,-1.,0.45454545454545453,0.3888888888888889,0.06565656565656564,0.37502679329231525,0.37126827855959443,0.375,0.35714285714285715,0.003758514732720819,0.01785714285714285,0.1265012765012765,0.11904761904761904,0.37502679329231525,4.947916666666667,5.,5.,0.003758514732720819,0.,-2,6.,4.4,5.,5.,1.6,3.
