"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA","AvgH","AvgD","AvgA","B365>2.5","B365<2.5","P>2.5","P<2.5","Max>2.5","Max<2.5","Avg>2.5","Avg<2.5","AHh","B365AHH","B365AHA","PAHH","PAHA","MaxAHH","MaxAHA","AvgAHH","AvgAHA","B365CH","B365CD","B365CA","BWCH","BWCD","BWCA","PSCH","PSCD","PSCA","WHCH","WHCD","WHCA","MaxCH","MaxCD","MaxCA","AvgCH","AvgCD","AvgCA","B365C>2.5","B365C<2.5","PC>2.5","PC<2.5","MaxC>2.5","MaxC<2.5","AvgC>2.5","AvgC<2.5","AHCh","B365CAHH","B365CAHA","PCAHH","PCAHA","MaxCAHH","MaxCAHA","AvgCAHH","AvgCAHA","Season","DateConverted","HomeTeamELO","AwayTeamELO","HomeTeamAverageGoals","AwayTeamAverageGoals","HomeTeamMedianGoals","AwayTeamMedianGoals","Total","DifferenceGoals","DifferenceELO","DifferenceAverageGoalsHomeAway","DifferenceMedianGoalsHomeAway","MatchTeams","HomeTeamAverageGoalsByMatch","AwayTeamAverageGoalsByMatch","HomeTeamMedianGoalsByMatch","AwayTeamMedianGoalsByMatch","DifferenceAverageGoalsByMatch","DifferenceMedianGoalsByMatch","HomeTeamAverageGoalsTotal","AwayTeamAverageGoalsTotal","HomeTeamMedianGoalsTotal","AwayTeamMedianGoalsTotal","DifferenceAverageGoalsTotal","DifferenceMedianGoalsTotal","HomeTeamProportionShotsOnTarget","AwayTeamProportionShotsOnTarget","DifferenceProportionShotsOnTarget","HomeTeamAverageProportionShotsOnTarget","AwayTeamAverageProportionShotsOnTarget","HomeTeamMedianProportionShotsOnTarget","AwayTeamMedianProportionShotsOnTarget","DifferenceAverageProportionShotsOnTargetHomeAway","DifferenceMedianProportionShotsOnTargetHomeAway","DifferenceAverageProportionShotsOnTargetByMatch","DifferenceMedianProportionShotsOnTargetByMatch"
"E0","09/08/2019","20:00","Liverpool","Norwich",4,1,"H",4,0,"H","M Oliver",15,12,7,5,9,9,11,2,0,2,0,0,1.14,10,19,1.14,8.25,18.5,1.15,9.59,18.05,1.12,8.5,21,1.16,10,23,1.14,8.75,19.83,1.4,3,1.4,3.11,1.45,3.11,1.41,2.92,-2.25,1.96,1.94,1.97,1.95,1.97,2,1.94,1.94,1.14,9.5,21,1.14,9,20,1.14,10.43,19.63,1.11,9.5,21,1.16,10.5,23,1.14,9.52,19.18,1.3,3.5,1.34,3.44,1.36,3.76,1.32,3.43,-2.25,1.91,1.99,1.94,1.98,1.99,2.07,1.9,1.99,"1920","DateObject[{2019, 8, 9}, ""Day""]",1651.132865269649,1370.4466506727151,2.3157894736842106,0.47368421052631576,2.,0.,5,3,280.68621459693395,1.842105263157895,2.,"{""Liverpool"", ""Norwich""}",3.5,1.,3.5,1.,2.5,2.5,2.150259067357513,0.6447368421052632,2.,0.,1.5055222252522498,2.,0.4666666666666667,0.4166666666666667,0.04999999999999999,0.366365357539877,0.28050460235363284,0.36278195488721804,0.2761904761904762,0.08586075518624414,0.08659147869674183,0.07959770114942528,0.07959770114942528
"E0","10/08/2019","12:30","West Ham","Man City",0,5,"A",0,1,"A","M Dean",5,14,3,9,6,13,1,1,2,2,0,0,12,6.5,1.22,11.5,5.75,1.26,11.68,6.53,1.26,13,6,1.24,13,6.75,1.29,11.84,6.28,1.25,1.44,2.75,1.49,2.77,1.51,2.77,1.48,2.65,1.75,2,1.9,2.02,1.9,2.02,1.92,1.99,1.89,12,7,1.25,11,6,1.26,11.11,6.68,1.27,11,6.5,1.24,13,7,1.29,11.14,6.46,1.26,1.4,3,1.43,3.03,1.5,3.22,1.41,2.91,1.75,1.95,1.95,1.96,1.97,2.07,1.98,1.97,1.92,"1920","DateObject[{2019, 8, 10}, ""Day""]",1486.8282842867825,1705.8256082477578,1.5921052631578947,2.1052631578947367,1.,2.,5,-5,-218.99732396097534,-0.513157894736842,-1.,"{""West Ham"", ""Man City""}",0.75,2.5,0.5,2.,-1.75,-1.,1.4352331606217616,2.5025906735751295,1.,2.,-1.067357512953368,-1.,0.6,0.6428571428571429,-0.04285714285714293,0.37015029180124065,0.36544897900051465,0.3333333333333333,0.3333333333333333,0.0047013128007259986,0.,-0.027611367127496185,-0.00952380952380956
"E0","10/08/2019","15:00","Bournemouth","Sheffield United",1,1,"D",0,0,"D","K Friend",13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1.95,3.6,3.9,2.04,3.57,3.9,2,3.5,3.8,2.06,3.65,4,2.01,3.53,3.83,1.9,1.9,1.96,1.96,2,1.99,1.9,1.93,-0.5,2.01,1.89,2.04,1.88,2.04,1.91,2,1.88,1.95,3.7,4.2,1.95,3.6,3.9,1.98,3.67,4.06,1.95,3.6,3.9,2.03,3.7,4.2,1.98,3.58,3.96,1.9,1.9,1.94,1.97,1.97,1.98,1.91,1.92,-0.5,1.95,1.95,1.98,1.95,2,1.96,1.96,1.92,"1920","DateObject[{2019, 8, 10}, ""Day""]",1439.0235397218623,1426.9120811808652,1.105263157894737,0.6052631578947368,1.,0.5,2,0,12.111458540997091,0.5000000000000001,0.5,"{""Bournemouth"", ""Sheffield United""}",1.,1.,1.,1.,0.,0.,1.1623931623931625,0.8245614035087719,1.,1.,0.33783175888439054,0.,0.23076923076923078,0.375,-0.14423076923076922,0.3266645441761542,0.31163098597309125,0.3333333333333333,0.2928571428571428,0.015033558203062958,0.0404761904761905,-0.14423076923076922,-0.14423076923076922
"E0","10/08/2019","15:00","Burnley","Southampton",3,0,"H",0,0,"D","G Scott",10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.65,3.2,2.75,2.71,3.31,2.81,2.7,3.2,2.75,2.8,3.33,2.85,2.68,3.22,2.78,2.1,1.72,2.17,1.77,2.2,1.78,2.12,1.73,0,1.92,1.98,1.93,2,1.94,2,1.91,1.98,2.7,3.25,2.9,2.65,3.1,2.85,2.71,3.19,2.9,2.62,3.2,2.8,2.72,3.26,2.95,2.65,3.18,2.88,2.1,1.72,2.19,1.76,2.25,1.78,2.17,1.71,0,1.87,2.03,1.89,2.03,1.9,2.07,1.86,2.02,"1920","DateObject[{2019, 8, 10}, ""Day""]",1451.3469412402712,1408.742713565018,0.9824561403508771,1.131578947368421,1.,1.,3,3,42.60422767525324,-0.14912280701754388,0.,"{""Burnley"", ""Southampton""}",1.6666666666666667,0.3333333333333333,2.,0.,1.3333333333333333,2.,0.993421052631579,1.1483870967741936,1.,1.,-0.1549660441426146,0.,0.4,0.2727272727272727,0.12727272727272732,0.3383073067283593,0.3761986835495434,0.35,0.3333333333333333,-0.0378913768211841,0.016666666666666663,0.07651515151515154,0.10227272727272729
"E0","10/08/2019","15:00","Crystal Palace","Everton",0,0,"D",0,0,"D","J Moss",6,10,2,3,16,14,6,2,2,1,0,1,3,3.25,2.37,3.2,3.2,2.35,3.21,3.37,2.39,3.1,3.3,2.35,3.21,3.4,2.52,3.13,3.27,2.4,2.2,1.66,2.23,1.74,2.25,1.74,2.18,1.7,0.25,1.85,2.05,1.88,2.05,1.88,2.09,1.84,2.04,3.4,3.5,2.25,3.3,3.3,2.25,3.37,3.45,2.27,3.3,3.3,2.25,3.55,3.5,2.34,3.41,3.37,2.23,2.2,1.66,2.22,1.74,2.28,1.77,2.17,1.71,0.25,1.82,2.08,1.97,1.96,2.03,2.08,1.96,1.93,"1920","DateObject[{2019, 8, 10}, ""Day""]",1482.0058083685026,1457.2921447906565,1.0921052631578947,1.013157894736842,1.,1.,0,0,24.71366357784609,0.07894736842105265,0.,"{""Crystal Palace"", ""Everton""}",1.,0.75,0.5,0.5,0.25,0.,1.145077720207254,1.0880829015544042,1.,1.,0.05699481865284972,0.,0.3333333333333333,0.3,0.033333333333333326,0.33882623117289157,0.33131509512484053,0.3076923076923077,0.3333333333333333,0.007511136048051037,-0.025641025641025605,-0.20551470588235293,-0.24019607843137256
"E0","10/08/2019","15:00","Watford","Brighton",0,3,"A",0,1,"A","C Pawson",11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4,1.9,3.4,4.33,1.98,3.44,4.37,1.95,3.4,4.2,2,3.5,4.6,1.94,3.41,4.26,2.1,1.72,2.19,1.76,2.24,1.76,2.16,1.71,-0.5,1.95,1.95,1.98,1.95,1.98,1.98,1.94,1.94,2.1,3.25,4.2,2.1,3.1,4,2.05,3.38,4.12,2.05,3.25,4,2.15,3.38,4.2,2.07,3.27,4.04,2.1,1.72,2.16,1.78,2.2,1.78,2.14,1.73,-0.5,2.04,1.86,2.05,1.88,2.12,1.91,2.05,1.84,"1920","DateObject[{2019, 8, 10}, ""Day""]",1394.3597030418173,1526.835057624716,1.0263157894736843,1.25,1.,1.,3,-3,-132.47535458289872,-0.2236842105263157,0.,"{""Watford"", ""Brighton""}",0.,2.5,0.,2.5,-2.5,-2.5,0.9210526315789473,1.3160621761658031,1.,1.,-0.3950095445868558,0.,0.2727272727272727,0.6,-0.32727272727272727,0.28436168471101314,0.37067178093076336,0.2727272727272727,0.3333333333333333,-0.08631009621975022,-0.06060606060606061,-0.3808080808080808,-0.3808080808080808
"E0","10/08/2019","17:30","Tottenham","Aston Villa",3,1,"H",0,1,"A","C Kavanagh",31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10,1.3,5.5,10,1.3,5.84,10.96,1.29,5.5,10,1.33,5.95,12,1.3,5.53,10.51,1.66,2.2,1.64,2.4,1.7,2.4,1.65,2.26,-1.5,1.97,1.93,1.99,1.93,2,2,1.93,1.94,1.36,5.5,9,1.35,5,9,1.39,5.35,8.42,1.35,5.25,8,1.4,5.7,10,1.36,5.29,8.82,1.57,2.37,1.58,2.52,1.65,2.55,1.58,2.4,-1.5,2.1,1.7,2.18,1.77,2.21,1.87,2.08,1.8,"1920","DateObject[{2019, 8, 10}, ""Day""]",1560.806495593131,1518.8993554285182,1.9210526315789473,1.131578947368421,2.,1.,4,2,41.90714016461288,0.7894736842105263,1.,"{""Tottenham"", ""Aston Villa""}",1.5,1.5,1.5,1.5,0.,0.,1.8031088082901554,1.4455958549222798,2.,1.,0.3575129533678756,1.,0.22580645161290322,0.5714285714285714,-0.34562211981566815,0.38650186369015144,0.3465260736968207,0.375,0.3333333333333333,0.039975789993330735,0.041666666666666685,0.0340803567084402,0.11282051282051281
"E0","11/08/2019","14:00","Leicester","Wolves",0,0,"D",0,0,"D","A Marriner",15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.25,3.3,3.3,2.21,3.34,3.66,2.2,3.25,3.5,2.29,3.38,3.66,2.22,3.28,3.48,2.2,1.66,2.23,1.74,2.25,1.74,2.17,1.7,-0.25,1.9,2,1.9,2.04,1.95,2.04,1.91,1.98,2.4,3.25,3.3,2.35,3.2,3.3,2.5,3.12,3.3,2.35,3.1,3.3,2.55,3.25,3.58,2.41,3.14,3.29,2.3,1.61,2.45,1.63,2.45,1.71,2.33,1.62,-0.25,2.07,1.83,2.11,1.83,2.12,1.98,2.06,1.84,"1920","DateObject[{2019, 8, 11}, ""Day""]",1475.9466061654182,1474.9689664392856,1.6578947368421053,0.9078947368421053,2.,1.,0,0,0.9776397261325656,0.75,1.,"{""Leicester"", ""Wolves""}",1.,0.25,1.,0.,0.75,1.,1.6193548387096774,1.0829015544041452,1.,1.,0.5364532843055323,0.,0.06666666666666667,0.25,-0.18333333333333335,0.3739374671505596,0.3297599569129835,0.38461538461538464,0.2928571428571428,0.0441775102375761,0.09175824175824182,0.13896767040149394,0.1800595238095238
"E0","11/08/2019","14:00","Newcastle","Arsenal",0,1,"A",0,0,"D","M Atkinson",9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,4.5,3.75,1.78,4.58,3.93,1.81,4.5,3.75,1.78,4.7,4,1.83,4.49,3.82,1.79,1.8,2,1.83,2.1,1.83,2.14,1.77,2.07,0.75,1.85,2.05,1.86,2.07,1.88,2.08,1.85,2.03,3.4,3.6,2.2,3.3,3.5,2.2,3.36,3.56,2.25,3.5,3.4,2.15,3.76,3.65,2.25,3.36,3.51,2.2,1.8,2,1.83,2.09,1.85,2.17,1.79,2.05,0.25,1.99,1.91,1.99,1.95,2.17,1.97,2,1.89,"1920","DateObject[{2019, 8, 11}, ""Day""]",1557.445541102237,1616.5295928027049,1.4210526315789473,1.4736842105263157,1.,1.,1,-1,-59.08405170046785,-0.05263157894736836,0.,"{""Newcastle"", ""Arsenal""}",0.5,1.25,0.,1.5,-0.75,-1.5,1.4766839378238341,1.8445595854922279,1.,2.,-0.36787564766839376,-1.,0.2222222222222222,0.25,-0.02777777777777779,0.3338658464017698,0.3469586884627559,0.31625000000000003,0.3038461538461539,-0.013092842060986098,0.012403846153846154,-0.051521796916533746,-0.045467836257309935
"E0","11/08/2019","16:30","Man United","Chelsea",4,0,"H",1,0,"H","A Taylor",11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2.15,3.3,3.5,2.21,3.37,3.63,2.15,3.3,3.5,2.28,3.43,3.63,2.19,3.32,3.49,2,1.8,2.05,1.87,2.1,1.87,2.01,1.83,-0.25,1.9,2,1.9,2.04,1.92,2.04,1.89,2,2.05,3.5,4,2.1,3.3,3.8,2.04,3.44,4.14,2,3.4,4,2.2,3.5,4.4,2.05,3.36,3.99,2,1.8,2.05,1.88,2.07,2.04,1.99,1.84,-0.5,2.02,1.88,2.04,1.9,2.1,1.91,2.04,1.85,"1920","DateObject[{2019, 8, 11}, ""Day""]",1601.579071720355,1538.4917736186114,1.9210526315789473,1.618421052631579,2.,1.,4,4,63.0872981017435,0.30263157894736836,1.,"{""Man United"", ""Chelsea""}",2.25,0.5,2.5,0.5,1.75,1.5,1.621761658031088,1.6839378238341969,1.,2.,-0.06217616580310881,-1.,0.45454545454545453,0.3888888888888889,0.06565656565656564,0.37767065723363863,0.3565711551484985,0.3717105263157895,0.35294117647058826,0.02109950208514011,0.018769349845201233,0.13546176046176045,0.13095238095238093
